pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
5D,Brorsen's Comet,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Brorsen); 2nd recorded observation of 5D; C.A.M. H10=8.0; Holetschek H1=8.1; Konopleva H10 range 7.2-8.2 also cited; periodic — will dedupe with other 5D apparitions; page-image proofread p.197-198: confirmed; periodic dedupe across apparitions [1851 IV: M1=6.0; 1868 I: M1=8.5; 1873 VI: M1=9.6; 1879 I: M1=9.4],high,1857 II,198,"Holetschek estimated H1=8m.1. In C.A.M. H10=8m. Konopleva considered H10=7m.2 to 8m.2. D1=2'.5; 11 April, S=0.003."
2P,Encke's Comet,8.7,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 K1 (wrong); body says '16th recorded apparition of the Encke-Backlund Comet' = 2P; C.A.M. H10=8.7; Holetschek H1=7.4-10.9 range; periodic — will dedupe with other 2P apparitions; page-image proofread p.206: confirmed; periodic dedupe across apparitions [1852 I: M1=9.8; 1855 III: M1=9.4; 1862 I: M1=9.7; 1865 II: M1=8.0; 1868 III: M1=9.0; 1871 V: M1=9.4; 1875 II: M1=9.9; 1878 II: M1=10.1; 1928 II: M1=10.0; 1931 II: M1=11.0; 1934 III: M1=11.6; 1937 VI: M1=10.4; 1881 VII: M1=9.8; 1885 I: M1=9.7; 1888 II: M1=9.7; 1891 III: M1=9.3; 1895 I: M1=9.3; 1898 III: M1=10.7; 1901 II: M1=9.1; 1908 I: M1=10.8; 1914 VI: M1=10.1; 1918 I: M1=10.6; 1921 IV: M1=10.8; 1924 III: M1=10.0],high,1858 VIII,206,"Taking for 7 Aug. m=12m.5; 9 Sept., 8m; and 1 Oct., 6m; Holetschek adopted H1=7m.4 to 10m.9. In C.A.M. H10=8m.7. D1=1'.9 - 0'.5."
1852 K1,Chacornac's Comet (1852 II),9.8,10.0,"Vsekhsvyatskij 1958, other",matched by name (Chacornac); E-II gave 10.5; 'better approximation 9.8' is Big V's narrative endorsement (no clear authority cited); chose 9.8 as Big V's own preferred value; page-image proofread p.187: confirmed,medium,1852 II,187,Absolute magnitude first determined in E-II (10m.5); better approximation 9m.8.
3D,Biela's Comet,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Biela); famous SPLIT apparition — comet split into two components in 1846 and observed split again in 1852 (last observed apparition before disintegration); C.A.M. H10=8.0; Holetschek H1=8.1-8.5 also cited; periodic — will dedupe with other 3D apparitions; page-image proofread pp.187-188: confirmed,high,1852 III,188,"Holetschek (Sitz. Acad. Wien 117(11a). 1908) estimated H1=8.5 to 8m.1. In C.A.M., H10=8m.0. D1=1'.5."
20D,Westphal's Comet,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Westphal); first observed apparition of 20D/Westphal; C.A.M. H10=5.0; Holetschek H1=5.5; periodic — will dedupe with other 20D apparitions; page-image proofread p.188: confirmed; periodic dedupe across apparitions [1913 VI: M1=8.8],high,1852 IV,188,"Adopting for 4 Oct. to 7 Oct. m=5m.2 and for 19 Oct., 20 Oct., m=5m.5, Holetschek obtained H1=5m.5. In C.A.M. H10=5m.0. In Aug. and Sept. D1=2'.7-4'.0. In Oct. Smax=0.0010."
1853 E1,Secchi's Comet (1853 I),7.3,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Secchi); only E-II H10 cited; perihelion passage was about 10 days before discovery; should have been visible naked-eye in Feb. but was not detected; page-image proofread p.189: confirmed,high,1853 I,189,Absolute magnitude determined for the first time in E-II (7m.3). In March D1=3-5'.
1853 G1,Schweizer's Comet (1853 II),6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Schweizer); C.A.M. and Holetschek H1 agree at 6.0; clean photometry; page-image proofread p.190: confirmed,high,1853 II,190,"Adopting for 30 April m=2m, Holetschek obtained H1=6m. In C.A.M. H10=6m. S=0.01-0.02."
1853 L1,Klinkerfues's Comet (1853 III),6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues); C.A.M. H10=6.4; Holetschek H1=4.2 (significantly brighter, suggests non-canonical n) with S=0.18; non-standard y=8 fit gives H_y=4.4 and an H10 fading from 4.2 to 10.2 over 5+ months; chose C.A.M. as canonical synthesis; page-image proofread p.191: confirmed",high,1853 III,191,"Holetschek, taking for 26 Aug. and 28 Aug. m=1m.7 and 1m.5, got H1=4m.2 - S=0.18. ... y=8; Hy=4m.4; H10=4m.2 - 10m.2 till 9 Jan. 1854. In C.A.M. H10=6m.4."
1853 R1,Bruhns's Comet (1853 IV),7.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Bruhns); no explicit C.A.M. cited; Holetschek H1=5.1; Big V narrative synthesis 'From the estimates, H10=7.0' chosen as Big V's own value; page-image proofread p.191: confirmed",medium,1853 IV,191,"Holetschek, adopting for 30 Sept. to 4 Oct. m=4m.4, found H1=5m.1. From the estimates, H10=7m.0. In Oct. D1=3'.5. S=0.05."
1853 W1,Van Arsdal's Comet (1854 I),7.0,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Arsdal); discovered 25 Nov 1853 but perihelion passage 4 Jan 1854; only E-II H10 cited; page-image proofread p.192: confirmed,high,1854 I,192,In E-II H10=7m.0. Phase angle for 20 Dec. 25° S=0.004.
1854 F1,Great Comet 1854 (de Menciaux),7.2,10.0,"Vsekhsvyatskij 1958, C.A.M.",script Roman-fallback gave correct answer; body identifies as 'a bright comet' discovered by de Menciaux (Overton); C.A.M. H10=7.2; Holetschek H1=4.6 (much brighter — n>4 for this comet); non-standard y=16.8 fit gives H10=7.0 (close to C.A.M.); 'rapid decrease in comet's brightness' narrative; page-image proofread p.192-193: confirmed; popular_name uses 'Great Comet 1854' since target list comet_name is 'C/1854 F1 (Great comet)',high,1854 II,192,"Holetschek, taking for 29 March to 1 April m=2m, got H1=4m.6. In C.A.M. H10=7m.2. On the basis of given estimates for the intrinsic brightness y=16.8, Hy=9m.0; H10=7m.0; a rapid decrease in comet's brightness. S=0.08."
1854 L1,Klinkerfues's Comet (1854 III),6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Klinkerfues); discovered 4 June; C.A.M. H10=6.4; Holetschek H1=5.4; non-standard photometric fit also given; page-image proofread p.193: confirmed,high,1854 III,193,"Taking m=4m to 5m for 26 June and 27 June, Holetschek obtained H1=5m.4. In C.A.M. H10=6m.4."
1854 R1,Klinkerfues's Comet (1854 IV),8.3,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — JSONL gave 1854 L1 (which is 1854 III's match); Big V's 1854 IV is the Sept 1854 Klinkerfues/Bruhns/Van Arsdal/Donati independent discovery, perihelion ~Oct = 1854 R1; only E-II value cited; page-image proofread p.193-194: confirmed",high,1854 IV,194,In E-II H10=8m.3. In Sept. D1=4-5'.
1854 Y1,Winnecke-Dien Comet (1854 V),6.8,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Winnecke); discovered Jan 14 1855 but Big V calls it 1854 V due to perihelion 22 Dec 1854 (within 1854 perihelion year); only E-II value cited; observed only after perihelion passage; page-image proofread p.194: confirmed,high,1854 V,194,In E-II H10=6m.7. 28 Jan. D1=6'.3-7'.8.
1855 G1,Schweizer's Comet (1855 I),4.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Schweizer); E-II gave H10=5.7 'an apparent underestimate' per Big V's narrative; chose Big V's synthesis H10=4.0 from given estimates; observed only after perihelion passage; page-image proofread p.195: confirmed,medium,1855 I,195,In E-II H10=5m.7 an apparent underestimate. From the given estimates H10=4m.0. D1=1'.2.
1855 L1,Donati-Dien-Klinkerfues (1855 II),11.3,10.0,"Vsekhsvyatskij 1958, other",matched by name (Donati); discovered 3 June by Donati and independently 4 July by Dien (Paris) and Klinkerfues; only Big V narrative synthesis H10=11.3; faint comet; page-image proofread p.195: confirmed,medium,1855 II,195,From given estimates H10=11m.3. 5 July D1=0'.6.
1855 V1,Bruhns's Comet (1855 IV),8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Bruhns); C.A.M. H10=8.0; Holetschek H1=8.3 also cited; Big V's later synthesis from extended observations gives H10=8.1 (close to C.A.M.); chose C.A.M. as canonical; page-image proofread p.196: confirmed,high,1855 IV,196,Holetschek estimated H1=8m.3. In C.A.M. H10=8m.0. Having adopted ... we obtain H10=8m.1.
1857 D1,d'Arrest's Comet (1857 I),7.1,10.0,"Vsekhsvyatskij 1958, E-II",SEGMENTER MISSED THIS ENTRY — pymupdf OCR rendered '1857 I' header as '1857.1' (period between year and Roman) which my regex didn't catch; manually added; matched by name (d'Arrest); discovered 22 Feb 1857; only E-II H10=7.1 cited from nine brightness estimates; page-image proofread p.196-197: confirmed,high,1857 I,197,"Proceeding from nine brightness estimates, E-II gave H10=7m.1. In March and April, D1=4-5'. S=0.002."
1857 M1,Klinkerfues's Comet (1857 III),9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues); C.A.M. H10=9.5; Holetschek H1=7.5 (significant ~2-mag discrepancy with C.A.M., suggests Holetschek's n was much greater than 4 for this comet); chose C.A.M. as canonical; Bredikhin tail type III; page-image proofread p.198: confirmed",high,1857 III,198,"Holetschek, taking m=5m.3 for 13 July, obtained H1=7m.5. In C.A.M. H10=9m.5. D1=2'; S=0.01."
1857 O1,Peters's Comet (1857 IV),9.1,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Peters); only E-II H10=9.1 cited; 'revised estimates gave a similar value for H10'; page-image proofread p.198-199: confirmed,high,1857 IV,199,"In E-II, H10=9m.1. The revised estimates gave a similar value for H10. D1=2'.1, S>0.001."
1857 Q1,Klinkerfues's Comet (1857 V),4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues, Roman position 5); C.A.M. H10=4.9; Holetschek H1 range 3.8-5.0; designation override confirmed by body (discovered 20 Aug, perihelion 1 Oct in target list = 1857 Q1); page-image proofread p.199-200: confirmed",high,1857 V,200,On the basis of estimates for the middle of Sept. (4m) and end of Sept. (3m) Holetschek got H1=3m.8 - 5m.0. In C.A.M. H10=4m.9. D1=2-3'. S=0.10.
1857 V1,Donati-van Arsdale (1857 VI),9.9,10.0,"Vsekhsvyatskij 1958, other",matched by name (Donati and van Arsdal independently); 'Absolute magnitude hitherto undetermined' per Big V; synthesis H10=9.9 from given estimates; faint comet; page-image proofread p.200: confirmed,medium,1857 VI,200,"Absolute magnitude hitherto undetermined. Proceeding from the estimates above, H10=9m.9. In November D1=2'."
8P,Tuttle's Comet,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 K1 (Roman fallback wrong; Big V skipped 26P/Grigg-Skjellerup in his 1858 numbering, shifting Roman positions); body says '2nd recorded apparition of the periodic Tuttle's Comet' = 8P/Tuttle; C.A.M. H10=7.8; periodic — will dedupe with other 8P apparitions; page-image proofread p.200-201: confirmed; periodic dedupe across apparitions [1871 III: M1=8.0; 1926 IV: M1=10.6; 1939 X: M1=11.4; 1885 IV: M1=8.5; 1899 III: M1=8.5; 1912 IV: M1=8.6]",high,1858 I,201,In C.A.M. H10=7m.8. D1=1'.9-3'.2. In February D1=4-5'.
7P,Pons-Winnecke,6.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Pons-Winnecke; this entry's surnames Respighi/Backer/Winnecke); Big V's 1863 III (Respighi) is actually 7P/Pons-Winnecke recovery — per body discovery context and orbital identification; Holetschek H1=5.7-6.1 (mid 5.9); C.A.M. H10=6m.8; periodic — will dedupe with other 7P apparitions; page-image proofread vs page 217-218: confirmed; periodic dedupe across apparitions [1858 II: M1=9.0; 1869 I: M1=9.6; 1875 I: M1=7.6; 1927 VII: M1=10.7; 1933 II: M1=10.0; 1939 V: M1=10.6; 1886 VI: M1=9.9; 1892 IV: M1=10.6; 1898 II: M1=9.6; 1909 II: M1=9.7; 1915 III: M1=9.2],high,1863 III,217,Holetschek adopted m=4m.5 and 5m for 16 April and 20 April and 21 April; hence H1=5.7 to 6m.1. In C.A.M. H10=6m.8.
41P,Tuttle-Giacobini-Kresak Comet,11.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 7P (wrong); body explicitly says 'Generally assumed to be the first recorded apparition of 1907 III - 1951f (Giacobini-Kresak)' = 41P; discovered by Tuttle 2 May 1858; C.A.M. H10=11.3; faint observation; periodic — will dedupe with other 41P apparitions; page-image proofread p.202: confirmed,high,1858 III,202,"Discovered by Tuttle (Cambridge, U.S.A.) in Leo Minor on 2 May. ... Generally assumed to be the first recorded apparition of 1907 III - 1951f (Giacobini-Kresak). In C.A.M. H10=11m.3. From given estimates, H10=10m.7."
1858 K1,Bruhns's Comet (1858 IV),8.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Bruhns); discovered 21 May 1858; no C.A.M. value cited in entry; only Big V's narrative synthesis H10=8.6 from observations 22 May - 15 July; page-image proofread p.202: confirmed,medium,1858 IV,202,"Taking for 22 May m=7m; 5 June, 6m.5; 14 June, 7m; 15 July, 10m; we obtain H10=8m.6. In May D1=3'. S=0.010."
1858 R1,Tuttle's Comet (1858 VII),5.9,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 L1 (already used for Donati 1858 VI); body says 'Discovered in Perseus on the evening of 5 Sept. by Tuttle (Cambridge)' — this is the Sept Tuttle = 1858 R1 (perihelion Oct 13); C.A.M. H10=5.9; Holetschek H1=6.7; bright moderate comet; page-image proofread p.205: confirmed,high,1858 VII,205,"Holetschek for 6 Oct. to 8 Oct. adopted m=6m(?), consequently H1=6m.7. In C.A.M. H10=5m.9. D1=2'.5 - 3'.0."
1859 G1,Tempel's Comet (1859),7.0,10.0,"Vsekhsvyatskij 1958, E-II",SEGMENTER MISSED — Big V used '1859 (1859b).' header without a Roman numeral; manually added; matched by name (Tempel); E-II H10=7.0 'based on estimates which were not confirmed by a single comparison' — Big V's narrative caveats the value; Big V's own synthesis from ground-up estimates gives 7.5; chose E-II 7.0 as cited canonical with caveat noted; page-image proofread p.206: confirmed,low,1859 (no roman),206,"In E-II, H10=7m.0 (based on estimates which, unfortunately, were not confirmed by a single comparison). Adopting for 2 April m=7-8m; 23 April, 6m; 12 May to 17 May, 4 to 5m; we obtain 7m.5. D1=3'.7-2'.9."
1860 D1,Liais Double Comet (1860 I),6.9,10.0,"Vsekhsvyatskij 1958, other",matched by name (Liais); 'exceptional case of a double comet' — discovered as a double; only Big V narrative synthesis H10=6.9; observed only by Liais till 13 March; page-image proofread p.206-207: confirmed,medium,1860 I,206,"Taking for 26 Feb. intrinsic brightness 6 to 7m, we get H10=6m.9. In February D1=0'.3."
1860 H1,Rumker's Comet (1860 II),5.2,10.0,"Vsekhsvyatskij 1958, other",matched by name (Rumker); E-II gave H10=6.7 but Big V says 5.2 'apparently a better approximation' from given estimates; chose Big V's narrative endorsement 5.2; faint upon discovery; page-image proofread p.207: confirmed,medium,1860 II,207,"In E-II H10=6m.7. Adopting the given estimates, we get H10=5m.2 which is apparently a better approximation. D1=4'.3."
1860 M1,Great Comet 1860 (1860 III),5.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name + Roman position 3 within year (no surname in target list — descriptive 'Great comet'); body says 'A bright comet. First discovered in Italy with the naked eye. 18 June, measured by Camarri (Senigallia)' = 1860 M1 (Great comet); C.A.M. H10=5.3; Holetschek H1=4.0; Schmidt et al. H10av=5.8; page-image proofread p.207-209: confirmed",high,1860 III,207,"Holetschek adopted for 27 June m=1m.5, therefore H1=4m.0. In C.A.M. H10=5m.3. h=7m.5-3. According to estimates of Schmidt et al. we get H10av=5m.80, h=7m.5 to 7m.8."
1860 U1,Tempel's Comet (1860 IV),9.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Tempel); discovered 23 Oct in Leo; only Big V narrative synthesis H10=9.5; lost due to poor weather; possible identity with comet near pole observed at Harvard 14 Nov; page-image proofread p.209: confirmed,medium,1860 IV,209,"Adopting for 24 Oct. m=7 to 8m, we get H10=9m.5. D1=2'.0."
1861 G1,Thatcher's Comet,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Thatcher); Holetschek H1=5m.1 (m=2m.9 on 4 May) also cited; Big V's synthesis H10=5m.5 also given but C.A.M. preferred per §3.1; D1=7'.2; page-image proofread vs page 209-210: confirmed,high,1861 I,209,"Holetschek adopted for 4 May m=2m.9; therefore H1=5m.1. In C.A.M. H10=4m.9. Taking into consideration all the given estimates, we got H10=5m.5."
1861 J1,Great Comet 1861 (Tebbutt),3.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1861 G1 (wrong; that's Thatcher's Comet, entry I); body identifies as Tebbutt's Great Comet of 1861, discovered 13 May from Australia, Earth passed through tail 29-30 June — this is 1861 J1; Holetschek H1=3m.7 to 4m.2 (mid 3.95) also cited; Bobrovnikoff Perkins Obs n=0.82 y=2.05 H=5m.03 cited as in obvious disagreement with Big V's synthesis; Big V's preferred C.A.M. value is 3m.9 — slightly fainter than Holetschek; sanity check: M1=3.9 with r_peri=0.82, Δ_min=0.13 → peak ~mag -1.4 (consistent with reported peak ~0); periodic — N/A; page-image proofread vs page 210-213: confirmed",high,1861 II,210,"Taking for 1 June m=2m, 24 June 0m.5(?); and 2 July 0m.0, Holetschek adopted H1=3m.7 to 4m.2. In C.A.M. H10=3m.9."
1861 Y1,Tuttle's Comet (1861 III),8.8,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tuttle); only E-II values cited (H10=8m.8, H10av=9m.3, mid 9.05); rapid brightness decrease — at beginning of January H10=8m.5, beginning of February H10=9m.8; chose E-II's stated H10 over H10av per §3.1; page-image proofread vs page 213: confirmed",high,1861 III,213,"In E-II H10=8m.8, H10av=9m.3. A rapid decrease in brightness; at the beginning of January H10=8m.5; at the beginning of February 9m.8."
1862 N1,Schmidt's Comet (1862 II),9.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Schmidt) + body identifies as discovered by Schmidt 2 July; Holetschek H1=10-11m; C.A.M. H10=10m.5; Big V's synthesis 'we get H10=9m.3 to 9m.5' (mid 9.4) preferred over C.A.M. as the synthesis is stated as a refinement based on additional estimates; page-image proofread vs page 214: confirmed,medium,1862 II,214,"Holetschek for 2 July to 7 July took m=5-6m, consequently, H1=10-11m. In C.A.M. H10=10m.5. From the given estimates we get H10=9m.3 to 9m.5."
109P,Swift-Tuttle,4.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift, Tuttle); C.A.M. H10=4m.0; Holetschek H1=4m.1 to 4m.4 (mid 4.25); Bobrovnikoff for g variations 0.96-1.08, n=8.9 and 3.5, H8=5m.31 and 5.58 (refers to nucleus); 1862 III orbit identified with Perseids meteor shower; periodic — will dedupe with other 109P apparitions; page-image proofread vs page 215-216: confirmed",high,1862 III,215,"Adopting m=3m.2; 2m.1 for 14 to 18, 19 to 23, and 24 to 28 Aug., Holetschek adopted H1=4m.1 to 4m.4. In C.A.M. H10=4m.0; D1=3'.8 to 6'.5."
1862 W1,Respighi's Comet (1862 IV),6.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Respighi); E-II adopted m=7m and H10=6m.3 for 1 Dec; Big V's synthesis from discovery m=6-7m and last observations m=9-10m gives H10=6m.5 — preferred as Big V's own consolidated value; page-image proofread vs page 216: confirmed,medium,1862 IV,216,"E-II adopted for 1 Dec. m=7m and H10=6m.3. Considering at discovery m=6-7m and for the last observations m=9-10m, we get H10=6m.5."
1862 X1,Bruhns's Comet (1863 I),8.4,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Bruhns); E-II H10(av)=8m.4±0m.6; after perihelion H10 order of 7m (asymmetric — but E-II's average is the canonical synthesis); D=1' to 1'.5; page-image proofread vs page 217: confirmed; note slight asymmetry — pre-peri average 8m.4, post-peri 7m (BRIGHTER post-peri, unusual)",low,1863 I,217,"E-II, H10(av)=8m.4±0m.6; after perihelion, H10 order of 7m. D=1' to 1'.5."
1863 G1,Klinkerfues's Comet (1863 II),5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Klinkerfues); Holetschek H1=5 to 6m (mid 5.5) for May; C.A.M. H10=5m; brief photometry; page-image proofread vs page 217: confirmed,high,1863 II,217,"Holetschek, taking for May m=5 to 6m, found H10=5 to 6m. In C.A.M. H10=5m."
