pdes,M1,K1,source_citation,notes
2P,8.7,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 K1 (wrong); body says '16th recorded apparition of the Encke-Backlund Comet' = 2P; C.A.M. H10=8.7; Holetschek H1=7.4-10.9 range; periodic — will dedupe with other 2P apparitions; page-image proofread p.206: confirmed; periodic dedupe across apparitions [1852 I: M1=9.8; 1855 III: M1=9.4; 1862 I: M1=9.7; 1865 II: M1=8.0; 1868 III: M1=9.0; 1871 V: M1=9.4; 1875 II: M1=9.9; 1878 II: M1=10.1; 1928 II: M1=10.0; 1931 II: M1=11.0; 1934 III: M1=11.6; 1937 VI: M1=10.4; 1881 VII: M1=9.8; 1885 I: M1=9.7; 1888 II: M1=9.7; 1891 III: M1=9.3; 1895 I: M1=9.3; 1898 III: M1=10.7; 1901 II: M1=9.1; 1908 I: M1=10.8; 1914 VI: M1=10.1; 1918 I: M1=10.6; 1921 IV: M1=10.8; 1924 III: M1=10.0]
1852 K1,9.8,10.0,"Vsekhsvyatskij 1958, other",matched by name (Chacornac); E-II gave 10.5; 'better approximation 9.8' is Big V's narrative endorsement (no clear authority cited); chose 9.8 as Big V's own preferred value; page-image proofread p.187: confirmed
3D,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Biela); famous SPLIT apparition — comet split into two components in 1846 and observed split again in 1852 (last observed apparition before disintegration); C.A.M. H10=8.0; Holetschek H1=8.1-8.5 also cited; periodic — will dedupe with other 3D apparitions; page-image proofread pp.187-188: confirmed
20D,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Westphal); first observed apparition of 20D/Westphal; C.A.M. H10=5.0; Holetschek H1=5.5; periodic — will dedupe with other 20D apparitions; page-image proofread p.188: confirmed; periodic dedupe across apparitions [1913 VI: M1=8.8]
1853 E1,7.3,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Secchi); only E-II H10 cited; perihelion passage was about 10 days before discovery; should have been visible naked-eye in Feb. but was not detected; page-image proofread p.189: confirmed
1853 G1,6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Schweizer); C.A.M. and Holetschek H1 agree at 6.0; clean photometry; page-image proofread p.190: confirmed
1853 L1,6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues); C.A.M. H10=6.4; Holetschek H1=4.2 (significantly brighter, suggests non-canonical n) with S=0.18; non-standard y=8 fit gives H_y=4.4 and an H10 fading from 4.2 to 10.2 over 5+ months; chose C.A.M. as canonical synthesis; page-image proofread p.191: confirmed"
1853 R1,7.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Bruhns); no explicit C.A.M. cited; Holetschek H1=5.1; Big V narrative synthesis 'From the estimates, H10=7.0' chosen as Big V's own value; page-image proofread p.191: confirmed"
1853 W1,7.0,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Arsdal); discovered 25 Nov 1853 but perihelion passage 4 Jan 1854; only E-II H10 cited; page-image proofread p.192: confirmed
1854 F1,7.2,10.0,"Vsekhsvyatskij 1958, C.A.M.",script Roman-fallback gave correct answer; body identifies as 'a bright comet' discovered by de Menciaux (Overton); C.A.M. H10=7.2; Holetschek H1=4.6 (much brighter — n>4 for this comet); non-standard y=16.8 fit gives H10=7.0 (close to C.A.M.); 'rapid decrease in comet's brightness' narrative; page-image proofread p.192-193: confirmed; popular_name uses 'Great Comet 1854' since target list comet_name is 'C/1854 F1 (Great comet)'
1854 L1,6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Klinkerfues); discovered 4 June; C.A.M. H10=6.4; Holetschek H1=5.4; non-standard photometric fit also given; page-image proofread p.193: confirmed
1854 R1,8.3,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — JSONL gave 1854 L1 (which is 1854 III's match); Big V's 1854 IV is the Sept 1854 Klinkerfues/Bruhns/Van Arsdal/Donati independent discovery, perihelion ~Oct = 1854 R1; only E-II value cited; page-image proofread p.193-194: confirmed"
1854 Y1,6.8,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Winnecke); discovered Jan 14 1855 but Big V calls it 1854 V due to perihelion 22 Dec 1854 (within 1854 perihelion year); only E-II value cited; observed only after perihelion passage; page-image proofread p.194: confirmed
1855 G1,4.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Schweizer); E-II gave H10=5.7 'an apparent underestimate' per Big V's narrative; chose Big V's synthesis H10=4.0 from given estimates; observed only after perihelion passage; page-image proofread p.195: confirmed
1855 L1,11.3,10.0,"Vsekhsvyatskij 1958, other",matched by name (Donati); discovered 3 June by Donati and independently 4 July by Dien (Paris) and Klinkerfues; only Big V narrative synthesis H10=11.3; faint comet; page-image proofread p.195: confirmed
1855 V1,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Bruhns); C.A.M. H10=8.0; Holetschek H1=8.3 also cited; Big V's later synthesis from extended observations gives H10=8.1 (close to C.A.M.); chose C.A.M. as canonical; page-image proofread p.196: confirmed
1857 D1,7.1,10.0,"Vsekhsvyatskij 1958, E-II",SEGMENTER MISSED THIS ENTRY — pymupdf OCR rendered '1857 I' header as '1857.1' (period between year and Roman) which my regex didn't catch; manually added; matched by name (d'Arrest); discovered 22 Feb 1857; only E-II H10=7.1 cited from nine brightness estimates; page-image proofread p.196-197: confirmed
1857 M1,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues); C.A.M. H10=9.5; Holetschek H1=7.5 (significant ~2-mag discrepancy with C.A.M., suggests Holetschek's n was much greater than 4 for this comet); chose C.A.M. as canonical; Bredikhin tail type III; page-image proofread p.198: confirmed"
1857 O1,9.1,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Peters); only E-II H10=9.1 cited; 'revised estimates gave a similar value for H10'; page-image proofread p.198-199: confirmed
1857 Q1,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Klinkerfues, Roman position 5); C.A.M. H10=4.9; Holetschek H1 range 3.8-5.0; designation override confirmed by body (discovered 20 Aug, perihelion 1 Oct in target list = 1857 Q1); page-image proofread p.199-200: confirmed"
1857 V1,9.9,10.0,"Vsekhsvyatskij 1958, other",matched by name (Donati and van Arsdal independently); 'Absolute magnitude hitherto undetermined' per Big V; synthesis H10=9.9 from given estimates; faint comet; page-image proofread p.200: confirmed
8P,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 K1 (Roman fallback wrong; Big V skipped 26P/Grigg-Skjellerup in his 1858 numbering, shifting Roman positions); body says '2nd recorded apparition of the periodic Tuttle's Comet' = 8P/Tuttle; C.A.M. H10=7.8; periodic — will dedupe with other 8P apparitions; page-image proofread p.200-201: confirmed; periodic dedupe across apparitions [1871 III: M1=8.0; 1926 IV: M1=10.6; 1939 X: M1=11.4; 1885 IV: M1=8.5; 1899 III: M1=8.5; 1912 IV: M1=8.6]"
7P,6.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Pons-Winnecke; this entry's surnames Respighi/Backer/Winnecke); Big V's 1863 III (Respighi) is actually 7P/Pons-Winnecke recovery — per body discovery context and orbital identification; Holetschek H1=5.7-6.1 (mid 5.9); C.A.M. H10=6m.8; periodic — will dedupe with other 7P apparitions; page-image proofread vs page 217-218: confirmed; periodic dedupe across apparitions [1858 II: M1=9.0; 1869 I: M1=9.6; 1875 I: M1=7.6; 1927 VII: M1=10.7; 1933 II: M1=10.0; 1939 V: M1=10.6; 1886 VI: M1=9.9; 1892 IV: M1=10.6; 1898 II: M1=9.6; 1909 II: M1=9.7; 1915 III: M1=9.2]
41P,11.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 7P (wrong); body explicitly says 'Generally assumed to be the first recorded apparition of 1907 III - 1951f (Giacobini-Kresak)' = 41P; discovered by Tuttle 2 May 1858; C.A.M. H10=11.3; faint observation; periodic — will dedupe with other 41P apparitions; page-image proofread p.202: confirmed
1858 K1,8.6,10.0,"Vsekhsvyatskij 1958, other",matched by name (Bruhns); discovered 21 May 1858; no C.A.M. value cited in entry; only Big V's narrative synthesis H10=8.6 from observations 22 May - 15 July; page-image proofread p.202: confirmed
1858 R1,5.9,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — JSONL gave 1858 L1 (already used for Donati 1858 VI); body says 'Discovered in Perseus on the evening of 5 Sept. by Tuttle (Cambridge)' — this is the Sept Tuttle = 1858 R1 (perihelion Oct 13); C.A.M. H10=5.9; Holetschek H1=6.7; bright moderate comet; page-image proofread p.205: confirmed
1859 G1,7.0,10.0,"Vsekhsvyatskij 1958, E-II",SEGMENTER MISSED — Big V used '1859 (1859b).' header without a Roman numeral; manually added; matched by name (Tempel); E-II H10=7.0 'based on estimates which were not confirmed by a single comparison' — Big V's narrative caveats the value; Big V's own synthesis from ground-up estimates gives 7.5; chose E-II 7.0 as cited canonical with caveat noted; page-image proofread p.206: confirmed
1860 D1,6.9,10.0,"Vsekhsvyatskij 1958, other",matched by name (Liais); 'exceptional case of a double comet' — discovered as a double; only Big V narrative synthesis H10=6.9; observed only by Liais till 13 March; page-image proofread p.206-207: confirmed
1860 H1,5.2,10.0,"Vsekhsvyatskij 1958, other",matched by name (Rumker); E-II gave H10=6.7 but Big V says 5.2 'apparently a better approximation' from given estimates; chose Big V's narrative endorsement 5.2; faint upon discovery; page-image proofread p.207: confirmed
1860 M1,5.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name + Roman position 3 within year (no surname in target list — descriptive 'Great comet'); body says 'A bright comet. First discovered in Italy with the naked eye. 18 June, measured by Camarri (Senigallia)' = 1860 M1 (Great comet); C.A.M. H10=5.3; Holetschek H1=4.0; Schmidt et al. H10av=5.8; page-image proofread p.207-209: confirmed"
1860 U1,9.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Tempel); discovered 23 Oct in Leo; only Big V narrative synthesis H10=9.5; lost due to poor weather; possible identity with comet near pole observed at Harvard 14 Nov; page-image proofread p.209: confirmed
1861 G1,4.9,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Thatcher); Holetschek H1=5m.1 (m=2m.9 on 4 May) also cited; Big V's synthesis H10=5m.5 also given but C.A.M. preferred per §3.1; D1=7'.2; page-image proofread vs page 209-210: confirmed
1861 J1,3.9,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1861 G1 (wrong; that's Thatcher's Comet, entry I); body identifies as Tebbutt's Great Comet of 1861, discovered 13 May from Australia, Earth passed through tail 29-30 June — this is 1861 J1; Holetschek H1=3m.7 to 4m.2 (mid 3.95) also cited; Bobrovnikoff Perkins Obs n=0.82 y=2.05 H=5m.03 cited as in obvious disagreement with Big V's synthesis; Big V's preferred C.A.M. value is 3m.9 — slightly fainter than Holetschek; sanity check: M1=3.9 with r_peri=0.82, Δ_min=0.13 → peak ~mag -1.4 (consistent with reported peak ~0); periodic — N/A; page-image proofread vs page 210-213: confirmed"
1861 Y1,8.8,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tuttle); only E-II values cited (H10=8m.8, H10av=9m.3, mid 9.05); rapid brightness decrease — at beginning of January H10=8m.5, beginning of February H10=9m.8; chose E-II's stated H10 over H10av per §3.1; page-image proofread vs page 213: confirmed"
1862 N1,9.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Schmidt) + body identifies as discovered by Schmidt 2 July; Holetschek H1=10-11m; C.A.M. H10=10m.5; Big V's synthesis 'we get H10=9m.3 to 9m.5' (mid 9.4) preferred over C.A.M. as the synthesis is stated as a refinement based on additional estimates; page-image proofread vs page 214: confirmed
109P,4.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Swift, Tuttle); C.A.M. H10=4m.0; Holetschek H1=4m.1 to 4m.4 (mid 4.25); Bobrovnikoff for g variations 0.96-1.08, n=8.9 and 3.5, H8=5m.31 and 5.58 (refers to nucleus); 1862 III orbit identified with Perseids meteor shower; periodic — will dedupe with other 109P apparitions; page-image proofread vs page 215-216: confirmed"
1862 W1,6.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Respighi); E-II adopted m=7m and H10=6m.3 for 1 Dec; Big V's synthesis from discovery m=6-7m and last observations m=9-10m gives H10=6m.5 — preferred as Big V's own consolidated value; page-image proofread vs page 216: confirmed
1862 X1,8.4,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Bruhns); E-II H10(av)=8m.4±0m.6; after perihelion H10 order of 7m (asymmetric — but E-II's average is the canonical synthesis); D=1' to 1'.5; page-image proofread vs page 217: confirmed; note slight asymmetry — pre-peri average 8m.4, post-peri 7m (BRIGHTER post-peri, unusual)"
1863 G1,5.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Klinkerfues); Holetschek H1=5 to 6m (mid 5.5) for May; C.A.M. H10=5m; brief photometry; page-image proofread vs page 217: confirmed
1863 V1,6.1,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Tempel); body header notes 'At first designated as 1863 V or 1863e' — first paren-id drift; Holetschek H1=5m.4; C.A.M. H10=6m.1; synthesis from Schmidt/Bruhns/Rumker average H10=5m.7 also cited; chose C.A.M. per §3.1; page-image proofread vs page 218-219: confirmed
1863 Y1,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 1862 X1 (wrong; that's Bruhns 1863 I); body identifies as Respighi's 28 Dec 1863 discovery (Provisional designation 1863 IV) = 1863 Y1 (Respighi) per target list; Holetschek H1=7m on 3 Jan 1864; C.A.M. H10=7m; synthesis 8m.2; chose C.A.M. per §3.1; page-image proofread vs page 219: confirmed
1863 T1,4.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1863 V1 (wrong; that's Tempel 1863 IV, the previous entry); body identifies as Backer's 9 Oct 1863 discovery; perihelion ~29 Dec from r,Δ data matches 1863 T1 (Baeker); only E-II value cited (4m.2); page-image proofread vs page 219-220: confirmed"
1864 R1,7.0,10.0,"Vsekhsvyatskij 1958, E-II",MANUAL DESIGNATION OVERRIDE — script gave 6P (wrong; 6P/d'Arrest 1864 apparition is entry 1864 IV); body identifies as Donati's 9 Sept 1864 discovery in Leo Minor — matches 1864 R1 (Donati) per target list peri 1864-07-28 (post-peri discovery); only E-II H10=7m.0 cited; page-image proofread vs page 220: confirmed
1864 N1,6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Tempel); Holetschek H1=6m.8 and 6m for 5 Aug and 11 Aug; C.A.M. H10=6m; Big V reappraisal H10=6m.2 from seven independent estimates; chose C.A.M. per §3.1; first comet to be observed spectroscopically (Donati 5-6 Aug); page-image proofread vs page 220-221: confirmed
1864 Y1,9.5,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Bruhns); E-II H10=11m; Big V synthesis: first period H10=9 to 10m (mid 9.5); end of January H10=12m — asymmetric/fading; took first-period synthesis as brighter representative; page-image proofread vs page 222: confirmed
1865 B1,3.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Abbot/Moesta/Ellery + descriptive 'Bright southern comet'); not as bright as Comet Donati per Ellery; Holetschek H1=3m.8 (m=3m on 26 Jan, 5m on 17 Feb); C.A.M. H10=3m.8; D1=9' on 20 Jan; popular_name uses 'Great Southern Comet 1865' since target_list name is 'C/1865 B1 (Great southern comet)'; page-image proofread vs page 222-223: confirmed"
55P,8.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tempel, Tuttle); Holetschek H1=9 (two papers); C.A.M. H10=9; Big V's 'making use of these estimates' synthesis H10=8m.0±0m.7 — preferred as Big V's own consolidated value; Schiaparelli established orbit identity with Leonids meteor shower; periodic — will dedupe with other 55P apparitions; page-image proofread vs page 224: confirmed"
38P,9.0,10.0,"Vsekhsvyatskij 1958, E-II",MANUAL DESIGNATION OVERRIDE — script gave 9P (wrong; 9P/Tempel 1 first apparition is the next entry 1867 II); body says 'Discovered by Coggia on 22 Jan and measured first by Stephan on 25 Jan' — perihelion before discovery (r increasing from 1.58 onwards) matches 38P/Stephan-Oterma peri 1867-01-20; only E-II H10=9m cited; periodic — will dedupe with other 38P apparitions; page-image proofread vs page 225: confirmed
9P,10.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 26P (wrong; 26P/Grigg-Skjellerup peri 1873-02-16 doesn't match this entry's April-July 1873 observations); body explicitly: 'second recorded apparition of the short-period comet Tempel(1)' = 9P; Holetschek H1=10m.3 to 12m.0; C.A.M. H10=10m.0; synthesis 9m.2; chose C.A.M. per §3.1; periodic — will dedupe with other 9P apparitions; page-image proofread vs page 236: confirmed; periodic dedupe across apparitions [1867 II: M1=8.4; 1879 III: M1=10.4]
1867 S1,8.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Backer, Winnecke); E-II H10=7 to 9m (mid 8.0); nucleus 9 to 10m; D1=3 to 4' on 3 Oct; brief photometry; range-only, flag medium per §3.4; page-image proofread vs page 226-227: confirmed"
1868 L1,7.7,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Winnecke); Holetschek H1=6m.6; C.A.M. H10=7m.7; Big V synthesis 7m.6±0m.1 from Schmidt estimates; D1=3'.5; S=0.02; page-image proofread vs page 227-228: confirmed
1869 T1,5.1,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 7P (wrong; 7P 1869 apparition is entry 1869 I, the previous one); body identifies as Tempel's 11 Oct 1869 discovery in Sextans; perihelion ~Oct 10 from target list 1869 T1 (Tempel) peri 1869-10-10; only E-II H10=5m.1 cited; brief photometry; page-image proofread vs page 229-230: confirmed"
11P,13.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'second recorded apparition of the short-period Comet Tempel-Swift' = 11P; Holetschek H1=13m.8; C.A.M. H10=13m.6 (very faint); Big V synthesis H10=12m.2; D1=2 to 3'; chose C.A.M. per §3.1; periodic — will dedupe with other 11P apparitions; page-image proofread vs page 255: confirmed; periodic dedupe across apparitions [1869 III: M1=11.4; 1891 V: M1=13.8; 1908 II: M1=12.8]
1870 Q1,9.5,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Coggia) + perihelion 28 Aug discovery → 1870 Q1; 'Absolute magnitude from E-II ... H10=9 to 10m' (mid 9.5); flag medium for range-only per §3.4; page-image proofread vs page 231: confirmed
1870 W1,11.1,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 6P (wrong; 6P 1870 apparition is entry 1870 III); body identifies as Winnecke's 23 Nov 1870 discovery near γ Virginis; only E-II H10=11m.1 cited; comet visible only ~one week, abruptly grew faint; matches target 1870 W1 (Winnecke) peri 1870-12-20; page-image proofread vs page 232: confirmed"
1871 G1,5.3,10.0,"Vsekhsvyatskij 1958, other",matched by name (Winnecke) + perihelion ~June 1871 (target 1871 G1 (Winnecke) peri 1871-06-11); Holetschek H1=6m.5 to 7m.0; C.A.M. H10=6m.3; Big V synthesis from Tempel/Swift 'we get H10=5m.3' (brighter — preferred per Big V's framing); page-image proofread vs page 232-233: confirmed
1871 L1,6.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tempel) + body discovery 14 June 1871 → 1871 L1 (Tempel); 'In E-II H10=6m.0 due to an erroneous use of Tempel's estimates which actually refer to comet 1871 I' — Big V flags E-II as erroneous (paper trail similar to V1 Donati pattern); ASYMMETRIC: Big V's own synthesis H10=6m.5 before perihelion, H10=8m.7 in August-September after perihelion; took pre-peri (brighter) per §3.3; page-image proofread vs page 233: confirmed; ERRONEOUS E-II flagged"
1871 V1,11.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tempel) + perihelion late-Dec 1871 → 1871 V1 (Tempel); 'Absolute magnitude determined for the first time in E-II'; Big V does NOT print numeric H10 explicitly but lists 'h0=11m' (nucleus brilliance); h0=11m is the nucleus, not the absolute magnitude — flag low for review; absent better data treating h0 as proxy is incorrect; LOW confidence, requires manual review; page-image proofread vs page 234: H10 numeric value not printed"
10P,9.1,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 9P (wrong); body explicitly: 'first recorded apparition of the short-period Comet Tempel(2)' = 10P; Holetschek H1=9m.7 to 10m.1; C.A.M. H10=9m.1; synthesis 8m.5 (Big V notes brightness 'apparently higher than Holetschek's estimates'); chose C.A.M. per §3.1; periodic — will dedupe with other 10P apparitions; page-image proofread vs page 236-237: confirmed; periodic dedupe across apparitions [1878 III: M1=9.4; 1930 VIII: M1=10.3; 1894 III: M1=9.5; 1899 IV: M1=9.9; 1904 III: M1=9.8; 1915 I: M1=11.0; 1920 II: M1=10.0; 1925 IV: M1=10.5]
1873 Q1,7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Borrelly) + body discovery 20 Aug 1873; C.A.M. H10=7m; Big V synthesis 6m.7; nucleus h10=9m; D1=3'.7; chose C.A.M. per §3.1; page-image proofread vs page 237: confirmed
1873 Q2,6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1873 Q1 (wrong; that's the Borrelly comet, previous entry); body identifies as 'Andries (Paris)' but the named modern comet is C/1873 Q2 (Henry) — OCR likely garbled discoverer name (printed text reads 'Andries' but matches Henry's discovery 23 Aug); Big V's 1873 V perihelion ~Sept 18 from r,Δ data fits 1873 Q2 (Henry) peri 1873-10-02; Holetschek H1=5m.9; C.A.M. H10=6m.4; synthesis from Tempel D1=7-9' confirms bright; chose C.A.M.; page-image proofread vs page 237-238: 'Andries' literally printed but identification with 1873 Q2 (Henry) by perihelion+date matching"
1874 D1,11.0,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Winnecke) + body discovery 20 Feb 1874 → 1874 D1; only E-II H10=11m.0 cited; observed only 6 days; D1=1'.5; S=0.0006; page-image proofread vs page 239: confirmed
1874 G1,5.0,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Winnecke) + body discovery 11 April 1874 → 1874 G1; only E-II H10=5m.0 cited; nucleus brilliance h10=11m.9; D1=6'.1; brief photometry; first comet whose spectrum was identified as hydrocarbon (Vogel/Huggins); page-image proofread vs page 239-240: confirmed
