pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1904 H1,Brooks's Comet (1904 I),2.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks) + Hercules 16 April 1904 -> 1904 H1; V.I H10=2m.9 and 2m.8 (from Holetschek and Wirtz observations); C.A.M. H10=2m.8; Bobrovnikoff y=8.12 H0=3m.6 (146 estimates); chose C.A.M. per sec 3.1; very distant comet (r=2.7 to 5.3 AU); observed for 40 months; non-standard photometric law y=8.12; sanity check: very bright intrinsically (M1=2.8) but distant — never naked-eye, peaked at m=8.5-9 (consistent); page-image proofread vs page 359-360: confirmed",high,1904 I,359,"V.I gave, according to observations of Holetschek and Wirtz, H10=2m.9 and 2m.8; in C.A.M., H10=2m.8. Bobrovnikoff... obtained y=8.12 and H0=3m.6."
1904 Y1,Giacobini's Comet (1904 II),6.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Giacobini) + Corona Borealis 17 Dec 1904 -> 1904 Y1; absolute magnitude estimated in V.II; C.A.M. H10=6m.6; D1=1'.1 in Jan 1905; chose C.A.M. per sec 3.1; faint distant comet (r=1.95-2.99 AU); page-image proofread vs page 360: confirmed,high,1904 II,360,"Absolute magnitude estimated in V.II. In C.A.M., H10=6m.6. In Jan. 1905, D1=1'.1."
10P,Tempel 2,9.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'fifth recorded apparition of the short-period Comet Tempel(2)' = 10P; Holetschek H10=10m.5 (from m=12m.7-13m.0); M.N. 90:712 and C.A.M. H10=9m.8; chose C.A.M. per sec 3.1; periodic — will dedupe with other 10P apparitions; D1=3'.4 in Nov; page-image proofread vs page 361: confirmed,high,1904 III,361,"Holetschek, adopting m=12m.7 to 13m.0; got H10=10m.5; in M.N., 90:712 and C.A.M., H10=9m.8. In Nov., D1=3'.4."
19P,Borrelly,9.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'first recorded apparition of the short-period Comet Borrelly' = 19P; Holetschek H1 8m.7-11m.2 from own estimates; from Wirtz y=4.7, H0=10m.8; C.A.M. H10=9m.0; chose C.A.M. per sec 3.1; periodic — will dedupe with other 19P apparitions; non-standard y=4.7; page-image proofread vs page 362: confirmed",high,1905 II,362,"Holetschek obtained from his own estimates H1-values ranging from 8m.7 to 11m.2, from observations of Wirtz, y=4.7, H0=10m.8; in C.A.M., H10=9m.0."
1905 F1,Giacobini's Comet (1905 III),11.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Giacobini) + Orion-Taurus 25 March 1905 -> 1905 F1; V.I y=11.1 H10=11m.4 (from Wirtz 10 obs); C.A.M. H10=11m.5; chose C.A.M. per sec 3.1; very faint telescopic comet; non-standard photometric law y=11.1; page-image proofread vs page 362: confirmed,high,1905 III,362,"V.I gave, according to Wirtz's 10 observations, y=11.1 and H10=11m.4; in C.A.M., H10=11m.5."
1906 E1,Kopff's Comet (1905 IV),3.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kopff) + body text 3 March 1906 discovery in Virgo-Leo, plus prediscovery plates from 1904-1905 -> 1906 E1 per target list; V.I H10=4m.2 (from Wirtz); Big V comments 'most observers estimated the comet brighter by 0m.5, and therefore it would be better to take H10=3m.7'; from 1907 estimates m=13.8-15 -> H10=2m.8 to 3m.5; chose Big V's preferred synthesis 3m.7; observed 40 months, very distant comet (r=3.6-6.4 AU); non-standard implied y=10; page-image proofread vs page 363: confirmed",medium,1905 IV,363,"V.I obtained, according to Wirtz's observations, H10=4m.2. Most observers estimated the comet brighter by 0m.5, and therefore it would be better to take H10=3m.7; from Wirtz, h10 equal to 4m.7. From estimates for March to June 1907, m=13.8 to 15m; hence H10=2m.8 to 3m.5."
1905 W1,Schaer's Comet (1905 V),8.9,10.0,"Vsekhsvyatskij 1958, other","matched by name (Schaer) + Geneva 17 Nov 1905 -> 1905 W1; V.I y=18.5 H10=9m.5, h10=12m.4 (Wirtz/Nijland); C.A.M. H10=10m.3; Big V synthesis from Wolf binocular estimates 20-22 Dec gives H10=8m.9 (brighter — preferred per pattern); ASYMMETRIC implied (rapid fading after Dec); chose Big V preferred per V1 pattern (Big V's reappraisal supersedes); non-standard y=18.5; brief naked-eye visibility 5.5-6.5m; page-image proofread vs page 364: confirmed",medium,1905 V,364,"V.I gave, according to Wirtz and Nijland, y=18.5, H10=9m.5, h10=12m.4; in C.A.M., H10=10m.3. Making use of Wolf's estimates and other binocular observations for 20 Dec. to 22 Dec., we obtain H10=8m.9."
1906 B1,Brooks's Comet (1905 VI),7.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks) + Hercules 26 Jan 1906 -> 1906 B1; V.I y=24, H0=5m.1 (Wirtz); C.A.M. H10=7m.5; Holetschek H10=7m.7; chose C.A.M. per sec 3.1; non-standard y=24 (very steep brightness law); page-image proofread vs page 365: confirmed",high,1905 VI,365,"V.I gave, according to Wirtz's observations, y=24. H0=5m.1; in C.A.M., H10=7m.5; Holetschek estimated H10=7m.7."
1905 X1,Giacobini's Comet (1906 I),8.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Giacobini) + Bootes 6 Dec 1905 -> 1905 X1; V.I pre-peri y=22, H0=8m.8 (Wirtz/Holetschek); post-peri y=18.2, H0=8m.1; ASYMMETRIC pre-peri 8m.8 vs post-peri 8m.1 (post is BRIGHTER); C.A.M. H10=8m.3 (synthesis); chose C.A.M. per sec 3.1; comet brightened unexpectedly to m=4 in Jan 1906; non-standard y; sanity check: peak m=4 with r_peri=0.22 fits M1=8.3 K=10 reasonably; page-image proofread vs page 365-366: confirmed",medium,1906 I,365,"V.I gave according to observations of Wirtz and Holetschek before the perihelion y=22, H0=8m.8. After the perihelion, y=18.2, H0=8m.1. In C.A.M., H10=8m.3."
1906 F1,Ross's Comet (1906 II),10.2,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Ross) + Cetus 18 March 1906 -> 1906 F1; V.I H10=10m.2; C.A.M. H10=10m.2 (same value); D1=4'.5 in March; brief observation period (3 weeks); page-image proofread vs page 366-367: confirmed,high,1906 II,366,"In V.I, H10=10m.2; same figure given in C.A.M. In March, D1=4'.5."
17P,Holmes,9.8,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'third recorded apparition of the short-period Comet Holmes' = 17P; Holetschek H10=11m.9 (photographic); Vsekhsvyatskii A.Zh. 7:215, 1930 obtained 10m, more precisely H10=9m.8 (from photographs); chose Big V's preferred Vsekhsvyatskii synthesis 9m.8 (more recent, more data); periodic — will dedupe; very faint apparition (15-16m); page-image proofread vs page 367: confirmed",medium,1906 III,367,"Holetschek from photographic estimates obtained H10=11m.9; S. Vsekhsvyatskii, A.Zh., 7:215. 1930, obtained 10m; more precisely, from photographs, H10=9m.8."
22P,Kopff,8.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'first recorded apparition of the short-period Comet Kopff' = 22P; V.I y=2.7 H0=10m.6 (Wirtz); other observations y=8.6 H0=9m.3 (Hartwig/Abetti/Nijland); M.N. 90:714 Hm=8m.4 Hb=7m.5 Hs=8m.9; C.A.M. H10=8m.4; chose C.A.M. per sec 3.1; periodic — will dedupe with other 22P apparitions; non-standard y=2.7 (Wirtz, very flat); page-image proofread vs page 367-368: confirmed",high,1906 IV,367,"V.I gave, according to Wirtz's estimates, y=2.7, H0=10m.6. According to other observations, (Hartwig, Abetti, Nijland et al.), y=8.6, H0=9m.3. In M.N., 90:714, Hm=8m.4, Hb=7m.5 and Hs=8m.9; in C.A.M., H10=8m.4."
15P,Finlay,9.0,10.0,"Vsekhsvyatskij 1958, other",MANUAL DESIGNATION OVERRIDE — script gave 22P (wrong; that was the previous entry 1906 IV); body explicitly: 'third recorded apparition of the short-period Comet Finlay' = 15P; target list 15P/Finlay peri 1906-09-08 matches body's 16 July discovery; Holetschek H1=9m.3; M.N. 90:713 Hm=9m.9 Hb=9m.1 Hs=12m.6; C.A.M. H10=9m.9 'an apparent underestimate'; Big V synthesis H10=9m.0 preferred; chose Big V's value over flagged C.A.M. per V1 pattern; periodic — will dedupe with other 15P apparitions; ERRONEOUS C.A.M. flagged; page-image proofread vs page 368: confirmed,medium,1906 V,368,"Holetschek's data gave H1=9m.3. In M.N., 90:713, Hm=9m.9, Hb=9m.1 and Hs=12m.6. In C.A.M., H10=9m.9, an apparent underestimate; H10=9m.0 is in better agreement with the estimates above."
97P,Metcalf-Brewington,9.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Metcalf) + Eridanus 14 Nov 1906 + target list 97P/Metcalf-Brewington peri 1906-10-10; V.I H10=7m.9 (from Wirtz, but based on erroneous ephemeris — Big V flags); for first visibility period H10=9m.5; for Dec 1906-Jan 1907 H10=10m.4; ASYMMETRIC (fading post-peri); chose Big V synthesis 9m.5 first period as brighter (post-peri 10.4 also cited); periodic — will dedupe; ERRONEOUS V.I (ephemeris) flagged; page-image proofread vs page 369: confirmed",medium,1906 VI,369,"V.I gave, according to Wirtz's observations, H10=7m.9, which however is based on an erroneous ephemeris. For the first visibility period the estimates above yield H10=9m.5; for Dec. 1906 and Jan. 1907, H10=10m.4."
1906 V1,Thiele's Comet (1906 VII),7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Thiele) + Cancer 10 Nov 1906 -> 1906 V1; V.I y=2.3 and 4.4, H0=8m.5 and 5m.3 (Holetschek/Wirtz); when y=10, H10=8m.1; C.A.M. H10=7m.8; Bobrovnikoff y=17.2 H10=7m.6 (37 estimates); chose C.A.M. per sec 3.1; non-standard y values (very flat for Holetschek); page-image proofread vs page 369-370: confirmed",high,1906 VII,369,"V.I gave, according to Holetschek and Wirtz, y=2.3 and 4.4; H0=8m.5 and 5m.3. When y=10, H10=8m.1. In C.A.M., H10=7m.8. Bobrovnikoff... obtained from 37 estimates of Holetschek, Wirtz, et al. y=17.2; H10=7m.6."
1907 E1,Giacobini's Comet (1907 I),6.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Giacobini) + Canis Major 10 March 1907 -> 1907 E1; V.I/C.A.M. H10=4m.9 (from Wirtz, y=17.6) — but Big V's reappraisal yields March H10=7m.0-7m.8, April-May 6-6.7, beginning 1908 5m.7, average H10=6m.5; chose Big V's average synthesis 6m.5 as more representative across phases (C.A.M. 4.9 appears to be too bright relative to Big V's reappraisal of estimates); ASYMMETRIC (brightened post-peri); non-standard y=17.6; page-image proofread vs page 370-371: confirmed",low,1907 I,370,"V.I gave, according to Wirtz, et al., y=17.6, H0=4m.9; in C.A.M., H10=4m.9. Proceeding from the estimates above, in March, H10=7m.0 to 7m.8; in April and May, H10=6 to 6m.7; beginning of 1908, H10=5m.7. On an average, H10=6m.5."
1907 G1,Grigg-Mellish (1907 II),10.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Grigg) + Caelum 8 April 1907 -> 1907 G1; V.I y=21 H10=9m.7 (Wirtz); C.A.M. H10=10m.6; from first estimates Big V synthesis H10=10m.4; chose Big V synthesis as primary (sits between Wirtz V.I and C.A.M.); apparently a return of comet 1742 (165-yr period); non-standard y=21; page-image proofread vs page 371: confirmed,medium,1907 II,371,"V.I gave, according to Wirtz, y=21, H10=9m.7; in C.A.M., H10=10m.6; from first estimates, we obtain H10=10m.4."
21P,Giacobini-Zinner,12.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'Presumably the second recorded apparition of the short-period Comet Tuttle-Giacobini-Kresak' — but body wording is wrong: this is actually 21P/Giacobini-Zinner per target list (Giacobini 1 June 1907 discovery in Leo); script accepted 21P; only C.A.M. H10=12m.3 cited; D=1.5-2'; very faint apparition near visibility threshold (13m); periodic — will dedupe with other 21P apparitions; page-image proofread vs page 371-372: confirmed,medium,1907 III,371,"In C.A.M., H10=12m.3. D=1.5 to 2'."
1907 L2,Daniel's Comet (1907 IV),4.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Daniel) + 9 June 1907 vernal equinox discovery -> 1907 L2; Orlov y=19-6.4 H0=3m.6-3m.7 h10=7m.4; V.I y=9.8 H0=4m.2 H10=4m.0 (Nijland/Wirtz et al); Bobrovnikoff y=9.0 H0=4m.4 (from 98 estimates); first period y=17 H0=3m.6; C.A.M. is not explicitly stated but V.I H10=4m.0 matches catalog convention — used as the canonical synthesis; sanity check: famous bright Daniel comet of 1907, peaked m=2.1-2.3 in mid-Aug, naked-eye 17 degree tail; M1=4.0 with r_peri=0.51, Δ=0.93 -> peak ~ 4.0 + 5log(0.474) - 10log(0.51) ~ 4.0 - 1.62 + 2.92 ~ 5.3 - too faint vs reported 2.1; using full r,Δ peak (Aug) r=0.6 Δ=0.93 -> peak ~4.0 + 5log(0.558) - 10log(0.6) ~ 4.0 - 1.27 + 2.22 ~ 4.95 - still too faint; possible underestimate by V.I — but per priority it remains preferred without explicit Big V flag; notable type II or III tail; page-image proofread vs page 372-373: confirmed",medium,1907 IV,372,"S.V. Orlov, A.N., 195:303, obtained from Holetschek's observations y=19 to 6.4, H0=3m.6 to 3m.7, h10=7m.4. V.I gave according to Nijland, Wirtz, and others y=9.8, H0=4m.2, H10=4m.0. From all the 98 estimates Bobrovnikoff... obtained y=9.0 (on the average), H0=4m.4 and for the first period (June and July) y=17, H0=3m.6."
1907 T1,Mellish's Comet (1907 V),8.4,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 26P (wrong; 26P/Grigg-Skjellerup 1907 apparition would be a separate entry); body says 'Discovered in Hydra by Mellish (Madison, U.S.A.) on 13 Oct.' — a single Mellish 1907 discovery, no periodicity claim; perihelion ~mid-Nov 1907 from r,delta data; this is likely C/1907 T1 (Mellish) per IAU designation conventions (Mellish discovered Oct 13 -> half-month T = Oct 1-15, suffix 1); V.I y=20 H0=8m.4 (Holetschek/Wirtz); C.A.M. H10=9m.8; chose V.I/Big V's first synthesis 8m.4 over C.A.M. since the Wirtz/Holetschek data come from same observations summarized; brief naked-eye 8-9m comet; page-image proofread vs page 374: confirmed; LOW CONFIDENCE — pdes guess based on conventions, may need manual designation review",low,1907 V,374,"From Holetschek and Wirtz, V.I obtained y=20; H0=8m.4; in C.A.M., H10=9m.8."
2P,Encke's Comet,10.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'thirty-first recorded apparition of the short-period Comet Encke-Backlund' = 2P; Holetschek H1=10m.6 (m=8 at beginning of June); C.A.M. H10=10m.8; chose C.A.M. per sec 3.1; periodic — will dedupe with other 2P apparitions; faint apparition; page-image proofread vs page 374-375: confirmed,high,1908 I,374,"Holetschek took m=8m at the beginning of June and obtained H1=10m.6; in C.A.M., H10=10m.8."
11P,Tempel-Swift-LINEAR,12.8,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 64P (wrong); body explicitly: 'fourth (and apparently the last) recorded apparition of Comet Tempel(3)-Swift' = 11P/Tempel-Swift-LINEAR; target list 11P peri 1908-10-05 matches body's 29 Sept Javelle discovery; Holetschek H1=14m.5-16m.5 (mid 15.5); C.A.M. H10=15m.1; Big V synthesis from Oct estimates m=12-13m gives H10=12m.8 (preferred — brighter, brightest period as required for periodics per sec 3.6); periodic — will dedupe with other 11P apparitions; very faint; page-image proofread vs page 375: confirmed",medium,1908 II,375,"Holetschek obtained from the estimates above H1=14m.5 to 16m.5; in C.A.M., H10=15m.1; in October, we obtain m=12 to 13m, hence H10=12m.8."
1908 R1,Morehouse's Comet (1908 III),4.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Morehouse) + Des Moines 1 Sept 1908 -> 1908 R1; one of the remarkable comets of the 20th century; Orlov from observations of Holetschek/Nijland/Wirtz: y=8.8, H0=4m.3, h0=4m.2; C.A.M. H10=4m.2; Bobrovnikoff y=12.5 H0=4m.0 and y=12.9 H0=3m.94 (110 estimates); chose C.A.M. per sec 3.1; sanity check: famous remarkable comet, intrinsic brightness 9->6->5m, naked-eye prominent for months, complex tail with type I; M1=4.2 with r_peri~0.94, Δ_min~1.06 -> peak ~ 4.2 + 5log(1.0) - 10log(0.94) = 4.2 + 0 + 0.27 ~ 4.5 — consistent with reported 5m peak; non-standard y=8.8 to 12.9; page-image proofread vs page 375-377: confirmed",high,1908 III,375,"Photometric parameter obtained for the first time by S.V. Orlov... From the observations of Holetschek, Nijland, Wirtz, et al., we obtain y=8.8, H0=4m.3, h0=4m.2. In C.A.M., H10=4m.2. Bobrovnikoff obtained from 110 estimates y=12.5, H0=4m.0 and y=12.9, H0=3m.94."
7P,Pons-Winnecke,9.7,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 18D (wrong); body explicitly: 'eighth recorded apparition of the short-period Comet Pons-Winnecke' = 7P/Pons-Winnecke; target list 7P peri 1909-10-09 matches body's 31 Oct Porro discovery (post-peri); Holetschek H1=8m.8-8m.9 (from Perrine estimates); V.I y=0.1 H0=9m.7; C.A.M. H10=9m.7; nucleus 10-11m.9; D1=2'.8; chose C.A.M. per sec 3.1; periodic — will dedupe with other 7P apparitions; non-standard y=0.1 (essentially flat); page-image proofread vs page 378: confirmed,high,1909 II,378,"From Perrine's estimates, Holetschek found H1=8m.8 to 8m.9; from the same estimates, V.I found y=0.1, H0=9m.7; in C.A.M., H0=9m.7; nucleus 10 to 11m.9; D1=2'.8."
18D,Perrine-Mrkos,13.3,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'second recorded apparition of the short-period Comet Perrine (was not detected in 1902)' = 18D/Perrine-Mrkos; Holetschek H1=14m.6-16m.3 'an apparent underestimate'; V.I h10=14m.3 (van Biesbroeck — nucleus); Big V says 'For the intrinsic brightness we adopt an H10-value smaller by 1m' i.e., 13m.3 — chose Big V's preferred synthesis since Holetschek flagged as underestimate (V1 pattern); periodic — will dedupe with other 18D apparitions; ERRONEOUS Holetschek flagged; page-image proofread vs page 379: confirmed",low,1909 III,379,"Taking on 2 Aug. m=15m; in September, 14m; 11 Oct., 13m; 20 Nov., 14m, Holetschek obtained H1=14.6 to 16m.3, an apparent underestimate. V.I obtained, according to van Biesbroeck's estimates, h10=14m.3. For the intrinsic brightness we adopt an H10-value smaller by 1m, which is in good agreement with Wolf's observations in September."
33P,Daniel,9.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 7P (wrong; 7P is entry 1909 II); body explicitly: 'first recorded apparition of the short period Comet Daniel' = 33P/Daniel; target list 33P peri 1909-11-29 matches body's 6 Dec Daniel discovery; Dubiago y=13.9; V.I y=21 H0=6m.7 (van Biesbroeck); C.A.M. H10=9m.5; chose C.A.M. per sec 3.1; periodic — will dedupe with other 33P apparitions; very high y=21 (unusual); page-image proofread vs page 379-380: confirmed,high,1909 IV,379,"From A. Dubiago, Erganz. Heft., 4(8), y=13.9; in V.I, from van Biesbroeck et al., y=21, H0=6m.7; in C.A.M., H10=9m.5."
1910 A1,Great January Comet 1910 (Daylight Comet),5.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'Brilliant comet first spotted on 12 Jan. by diamond miners in Transvaal' = Great January Daylight Comet 1910 = 1910 A1 per target list; FAMOUS COMET — observed in daytime only 4 deg from Sun, brighter than Venus, 10-deg tail growing to 40 deg by end of January; Orlov y=11.5 H0=5m.4 h0=6m.3 (van Biesbroeck and others); C.A.M. H10=5m.4; chose C.A.M. per sec 3.1; D1=4'; Smax=0.50; sanity check (external lit): peak m=-5 reported in literature; with M1=5.4, r_peri=0.13, Δ=1.42: m = 5.4 + 5log(1.42) + 10log(0.13) = 5.4 + 0.76 - 8.86 = -2.7; reported peak somewhat brighter (-5) — within K=10 model accuracy for sungrazer-like geometry; non-standard y=11.5; page-image proofread vs page 380-382: confirmed (note: PDF OCR garbled C.A.M. value, page image confirms 5m.4)",high,1910 I,380,"S.V. Orlov, A.N., 189:4, obtained, from van Biesbroeck and several other observers, y=11.5, H0=5m.4, h0=6m.3; in C.A.M., H10=5m.4. D=4'. Smax=0.50."
1910 P1,Metcalf's Comet (1910 III),5.4,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Metcalf) + Hercules 8 Aug 1910 -> 1910 P1; V.I y=7.1 H0=6m.7 (van Biesbroeck); C.A.M. H10=5m.4; Big V synthesis from estimates with brightness increase pattern: H10=4m.19 (BRIGHTER alternative); ASYMMETRIC — comet had unusual brightening pattern; chose C.A.M. per sec 3.1 (Big V's 4.19 synthesis available as alternate but C.A.M. is preferred); D1=3'.6 in Aug-Sept; non-standard y=7.1; page-image proofread vs page 384-385: confirmed,medium,1910 III,384,"V.I gave, according to van Biesbroeck, y=7.1, H0=6m.7; in C.A.M., H10=5m.4. Proceeding from estimates that correspond to the increase in brightness... we obtain H10=4m.19."
